"Points:0","Points:1","Points:2"
0.40304,0.11711,0
0.40139,0.1172,0
0.40304,0.11713,0
0.40138,0.11721,0
0.40305,0.11714,0
0.40138,0.11723,0
0.40305,0.11715,0
0.40137,0.11724,0
0.40306,0.11717,0
0.40136,0.11726,0
0.40306,0.11718,0
0.40135,0.11727,0
0.40307,0.11719,0
0.40135,0.11728,0
0.40307,0.11721,0
0.40134,0.1173,0
0.40308,0.11722,0
0.40133,0.11731,0
0.40308,0.11723,0
0.40132,0.11733,0
0.40309,0.11725,0
0.40132,0.11734,0
0.40309,0.11726,0
0.40131,0.11736,0
0.4031,0.11728,0
0.4013,0.11737,0
0.4031,0.11729,0
0.40129,0.11738,0
0.40311,0.1173,0
0.40129,0.1174,0
0.40311,0.11732,0
0.40128,0.11741,0
0.40312,0.11733,0
0.40127,0.11743,0
0.40312,0.11734,0
0.40126,0.11744,0
0.40313,0.11736,0
0.40126,0.11745,0
0.40313,0.11737,0
0.40125,0.11747,0
0.40314,0.11738,0
0.40124,0.11748,0
0.40314,0.1174,0
0.40123,0.1175,0
0.40315,0.11741,0
0.40123,0.11751,0
0.40315,0.11743,0
0.40122,0.11753,0
0.40316,0.11744,0
0.40121,0.11754,0
0.40316,0.11745,0
0.4012,0.11755,0
0.40317,0.11747,0
0.4012,0.11757,0
0.40317,0.11748,0
0.40119,0.11758,0
0.40318,0.11749,0
0.40118,0.1176,0
0.40318,0.11751,0
0.40117,0.11761,0
0.40319,0.11752,0
0.40117,0.11763,0
0.40319,0.11753,0
0.40116,0.11764,0
0.4032,0.11755,0
0.40115,0.11765,0
0.4032,0.11756,0
0.40114,0.11767,0
0.40321,0.11758,0
0.40114,0.11768,0
0.40321,0.11759,0
0.40113,0.1177,0
0.40322,0.1176,0
0.40112,0.11771,0
0.40322,0.11762,0
0.40111,0.11772,0
0.40323,0.11763,0
0.40111,0.11774,0
0.40323,0.11764,0
0.4011,0.11775,0
0.40324,0.11766,0
0.40109,0.11777,0
0.40324,0.11767,0
0.40108,0.11778,0
0.40325,0.11768,0
0.40108,0.1178,0
0.40325,0.1177,0
0.40107,0.11781,0
0.40326,0.11771,0
0.40106,0.11782,0
0.40326,0.11773,0
0.40105,0.11784,0
0.40327,0.11774,0
0.40105,0.11785,0
0.40327,0.11775,0
0.40104,0.11787,0
0.40328,0.11777,0
0.40103,0.11788,0
0.40328,0.11778,0
0.40102,0.11789,0
0.40329,0.11779,0
0.40102,0.11791,0
0.40329,0.11781,0
0.40101,0.11792,0
0.4033,0.11782,0
0.401,0.11794,0
0.4033,0.11784,0
0.40099,0.11795,0
0.40331,0.11785,0
0.40099,0.11797,0
0.40331,0.11786,0
0.40098,0.11798,0
0.40332,0.11788,0
0.40097,0.11799,0
0.40332,0.11789,0
0.40097,0.11801,0
0.40333,0.1179,0
0.40096,0.11802,0
0.40333,0.11792,0
0.40095,0.11804,0
0.40334,0.11793,0
0.40094,0.11805,0
0.40334,0.11794,0
0.40094,0.11807,0
0.40335,0.11796,0
0.40093,0.11808,0
0.40335,0.11797,0
0.40092,0.11809,0
0.40336,0.11799,0
0.40091,0.11811,0
0.40336,0.118,0
0.40091,0.11812,0
0.40337,0.11801,0
0.4009,0.11814,0
0.40337,0.11803,0
0.40089,0.11815,0
0.40338,0.11804,0
0.40088,0.11816,0
0.40338,0.11805,0
0.40088,0.11818,0
0.40339,0.11807,0
0.40087,0.11819,0
0.40339,0.11808,0
0.40086,0.11821,0
0.4034,0.11809,0
0.40085,0.11822,0
0.4034,0.11811,0
0.40085,0.11824,0
0.40341,0.11812,0
0.40084,0.11825,0
0.40341,0.11814,0
0.40083,0.11826,0
0.40342,0.11815,0
0.40082,0.11828,0
0.40342,0.11816,0
0.40082,0.11829,0
0.40343,0.11818,0
0.40081,0.11831,0
0.40343,0.11819,0
0.4008,0.11832,0
0.40344,0.1182,0
0.40079,0.11834,0
0.40344,0.11822,0
0.40079,0.11835,0
0.40345,0.11823,0
0.40078,0.11836,0
0.40345,0.11824,0
0.40077,0.11838,0
0.40346,0.11826,0
0.40076,0.11839,0
0.40346,0.11827,0
0.40076,0.11841,0
0.40347,0.11829,0
0.40075,0.11842,0
0.40347,0.1183,0
0.40074,0.11843,0
0.40348,0.11831,0
0.40073,0.11845,0
0.40348,0.11833,0
0.40073,0.11846,0
0.40349,0.11834,0
0.40072,0.11848,0
0.40349,0.11835,0
0.40071,0.11849,0
0.4035,0.11837,0
0.4007,0.11851,0
0.4035,0.11838,0
0.4007,0.11852,0
0.40351,0.11839,0
0.40069,0.11853,0
0.40351,0.11841,0
0.40068,0.11855,0
0.40352,0.11842,0
0.40067,0.11856,0
0.40352,0.11844,0
0.40067,0.11858,0
0.40353,0.11845,0
0.40066,0.11859,0
0.40353,0.11846,0
0.40065,0.1186,0
0.40354,0.11848,0
0.40064,0.11862,0
0.40354,0.11849,0
0.40064,0.11863,0
0.40355,0.1185,0
0.40063,0.11865,0
0.40355,0.11852,0
0.40062,0.11866,0
0.40356,0.11853,0
0.40061,0.11868,0
0.40356,0.11854,0
0.40061,0.11869,0
0.40357,0.11856,0
0.4006,0.1187,0
0.40357,0.11857,0
0.40059,0.11872,0
0.40358,0.11859,0
0.40058,0.11873,0
0.40358,0.1186,0
0.40058,0.11875,0
0.40359,0.11861,0
0.40057,0.11876,0
0.40359,0.11863,0
0.40056,0.11878,0
0.4036,0.11864,0
0.40055,0.11879,0
0.4036,0.11865,0
0.40055,0.1188,0
0.40361,0.11867,0
0.40054,0.11882,0
0.40361,0.11868,0
0.40053,0.11883,0
0.40362,0.11869,0
0.40053,0.11885,0
0.40362,0.11871,0
0.40052,0.11886,0
0.40362,0.11872,0
0.40051,0.11887,0
0.40363,0.11874,0
0.4005,0.11889,0
0.40363,0.11875,0
0.4005,0.1189,0
0.40364,0.11876,0
0.40049,0.11892,0
0.40364,0.11878,0
0.40048,0.11893,0
0.40365,0.11879,0
0.40047,0.11895,0
0.40365,0.1188,0
0.40047,0.11896,0
0.40366,0.11882,0
0.40046,0.11897,0
0.40366,0.11883,0
0.40045,0.11899,0
0.40367,0.11884,0
0.40044,0.119,0
0.40367,0.11886,0
0.40044,0.11902,0
0.40368,0.11887,0
0.40043,0.11903,0
